parent,label,date,lon,lat,confirmed,recovered,deaths
global,Irak,2020-02-25,44,33,1,0,0
global,Taiwan,2020-02-25,121,23.7,31,5,1
USA,"San Diego County, CA",2020-02-25,-117.1611,32.7157,2,1,0
global,Japan,2020-02-25,138,36,170,22,1
USA,"San Benito, CA",2020-02-25,-120.9876,36.5761,2,0,0
USA,"Sacramento County, CA",2020-02-25,-121.3542,38.4747,1,0,0
USA,"Humboldt County, CA",2020-02-25,-123.8695,40.745,1,0,0
China,Fujian,2020-02-25,117.9874,26.0789,294,199,1
China,Tianjin,2020-02-25,117.323,39.3054,135,91,3
global,Singapur,2020-02-25,103.8333,1.2833,91,53,0
USA,"Kreuzfahrtschiff ""Diamond Princess""",2020-02-25,139.638,35.4437,36,0,0
China,Hubei (Wuhan),2020-02-25,112.2707,30.9756,64786,18971,2563
China,Shanxi,2020-02-25,112.2922,37.5777,133,98,0
global,Vietnam,2020-02-25,108,16,16,16,0
China,Hebei,2020-02-25,116.1306,39.549,311,248,6
global,Nepal,2020-02-25,84.25,28.1667,1,1,0
USA,"Los Angeles, CA",2020-02-25,-118.2437,34.0522,1,0,0
global,Thailand,2020-02-25,101,15,37,22,0
global,Iran,2020-02-25,53,32,95,0,16
China,Guizhou,2020-02-25,106.8748,26.8154,146,104,2
global,Südkorea,2020-02-25,128,36,977,22,10
China,Xinjiang,2020-02-25,85.2401,41.1129,76,30,2
global,Malaysia,2020-02-25,112.5,2.5,22,18,0
global,Russland,2020-02-25,90,60,2,2,0
global,Frankreich,2020-02-25,2.2137,46.2276,14,11,1
China,Ningxia,2020-02-25,106.1655,37.2692,71,61,0
China,Guangdong,2020-02-25,113.4244,23.3417,1347,822,7
China,Shanghai,2020-02-25,121.4491,31.202,336,268,3
China,Guangxi,2020-02-25,108.7881,23.8298,252,134,2
global,Israel,2020-02-25,35,31,1,0,0
China,Qinghai,2020-02-25,95.9956,35.7452,18,18,0
Kanada,British Columbia,2020-02-25,-123.1207,49.2827,7,0,0
Kanada,Ontario,2020-02-25,-85.3232,51.2538,4,3,0
USA,"King County, WA",2020-02-25,-122.3321,47.6062,1,1,0
China,Jilin,2020-02-25,126.1923,43.6661,93,63,1
global,Österreich,2020-02-25,14.5501,47.5162,2,0,0
USA,"Suffolk County, MA",2020-02-25,-71.0589,42.3601,1,0,0
Australien,New South Wales,2020-02-25,151.2093,-33.8688,4,4,0
